----------------------------------------------------------------------------------,,,,
Search Criteria: ,,,,
"Text Search: lung cancer (and);Search in: Projects 		AdminIC: All; Fiscal Year: Active Projects ",,,,
----------------------------------------------------------------------------------,,,,
Project Title,Organization Name,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
COORDINATE REGULATION BY MAP3K4 OF EPIGENETIC MODIFIERS CONTROLLING EMT,UNIVERSITY OF MEMPHIS,2016,271741,
MODULATION OF VASCULAR ENDOTHELIAL ALLOIMMUNOGENICITY BY NANOPARTICLE-MEDIATED GE,YALE UNIVERSITY,2016,43576,
ADMINISTRATIVE CORE,UNIVERSITY OF PENNSYLVANIA,2016,,56136
DEFINING MECHANISMS OF CANCER CHEMORESISTANCE AND METASTASIS,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,246504,
CENTER FOR MULTIPLE MYELOMA NANOTHERAPY,WASHINGTON UNIVERSITY,2016,57523,
CENTER FOR MULTIPLE MYELOMA NANOTHERAPY,WASHINGTON UNIVERSITY,2016,2230648,
GENETIC CONTROL OF TISSUE POLARITY,UNIVERSITY OF VIRGINIA,2014,373498,
GENOTYPE AND IMAGING PHENOTYPE BIOMARKERS IN LUNG CANCER,DANA-FARBER CANCER INST,2016,667641,
QUANTITATIVE RADIOMICS SYSTEM DECODING THE TUMOR PHENOTYPE,DANA-FARBER CANCER INST,2016,709180,
FAT TRANSPLANT FOR GLITAZONE DELIVERY AND ADIPONECTIN PRODUCTION TO INHIBIT BREAST CANCER,UNIVERSITY OF UTAH,2016,194445,
REGULATION OF THE TELOMERASE RNA COMPONENT IN HEMATOPOIESIS,CHILDREN'S HOSPITAL CORPORATION,2016,398250,
TUMOR CELL AND MICROENVIRONMENT CHANGES CAUSING ANTIANGIOGENIC THERAPY RESISTANCE,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,346719,
FUNCTIONAL DETERMINANTS OF METASTATIC DORMANCY,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2016,436677,
ORGAN SPECIFIC MACROPHAGES AND THE REGULATION OF DISSEMINATED TUMOR CELL FATE,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2016,84750,
TARGETING GALECTIN-3 FOR PROSTATE CANCER THERAPY,"GLYCOMANTRA, INC.",2016,40000,
TARGETING GALECTIN-3 FOR PROSTATE CANCER THERAPY,"GLYCOMANTRA, INC.",2016,224881,
MODULATING SYSTEMIC PRO-ONCOGENIC EFFECTS OF FOCAL IMAGE-GUIDED TUMOR ABLATION,BETH ISRAEL DEACONESS MEDICAL CENTER,2016,440786,
EXPERIMENTAL CHARACTERIZATION OF THE DYNAMICS OF IMMUNE RESPONSES TO INFLUENZA,EMORY UNIVERSITY,2016,,1028598
SON AND THE MALAT1 LOCUS IN CHROMATIN INTERACTION AND METASTASIS GENE REGULATION,UNIVERSITY OF SOUTH ALABAMA,2016,164756,
SON-MEDIATED GENE EXPRESSION AND LEUKEMIA,UNIVERSITY OF SOUTH ALABAMA,2016,346556,
PROSPECTIVE STUDY OF HUMAN ORAL MICROBIOME AND PANCREATIC CANCER RISK,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2016,533275,
ELUCIDATING THE ROLE AND REGULATION OF EPITHELIAL PLASTICITY IN METASTASIS,UNIVERSITY OF PENNSYLVANIA,2016,30341,
NOVEL NANOTECHNOLOGY PLATFORM FOR BREAST CANCER TREATMENT,HOWARD UNIVERSITY,2016,377500,
RECIPIENT EPIDEMIOLOGY AND DONOR EVALUATION STUDY III (REDS-III) DOMESTIC HUB,"BLOODCENTER OF WISCONSIN, INC.",2014,1028074,
RECIPIENT EPIDEMIOLOGY AND DONOR EVALUATION STUDY III (REDS-III) DOMESTIC HUB,"BLOODCENTER OF WISCONSIN, INC.",2013,3588338,
